chr	pos	f_1	f_2	diff_f	type	start	end	atrribute	description	ncbi_id	vectorbase_id	orthodb_id	uniprot_id	GOs_id	GOs_description	interpro_id	interpro_description
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	541471	542468	ID=gene21941;Dbxref=VectorBase:CPIJ000684,GeneID:6031445;Name=CpipJ_CPIJ000684;end_range=542468,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000684;partial=true;start_range=.,541471	tRNA(His) guanylyltransferase [Culex quinquefasciatus (southern house mosquito)]	6031445	CPIJ000684	10522at7157	B0W0L5	GO:0000287, GO:0008193, GO:0006400	F:magnesium ion binding; F:tRNA guanylyltransferase activity; P:tRNA modification	IPR025845, IPR024956, IPR007537, IPR038469	Thg1_C_dom.; tRNAHis_GuaTrfase_cat.; tRNAHis_GuaTrfase_Thg1.; tRNAHis_GuaTrfase_Thg1_sf.
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	543718	545506	ID=gene21942;Dbxref=VectorBase:CPIJ000685,GeneID:6031446;Name=CpipJ_CPIJ000685;end_range=545506,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000685;partial=true;start_range=.,543718	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031446	CPIJ000685	5500at7157	A0A3U8HMN9				
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	547949	549251	ID=gene21943;Dbxref=VectorBase:CPIJ000686,GeneID:6031447;Name=CpipJ_CPIJ000686;end_range=549251,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000686;partial=true;start_range=.,547949	extensin class 1 [Culex quinquefasciatus (southern house mosquito)]	6031447	CPIJ000686		B0W0L7				
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	553925	555136	ID=gene21944;Dbxref=VectorBase:CPIJ000687,GeneID:6031448;Name=CpipJ_CPIJ000687;end_range=555136,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000687;partial=true;start_range=.,553925	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031448	CPIJ000687						
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	574450	584711	ID=gene21945;Dbxref=VectorBase:CPIJ000688,GeneID:6031449;Name=CpipJ_CPIJ000688;end_range=584711,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000688;partial=true;start_range=.,574450	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031449	CPIJ000688	10586at7157	B0W0L9				
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	586888	588294	ID=gene21946;Dbxref=VectorBase:CPIJ000689,GeneID:6031450;Name=CpipJ_CPIJ000689;end_range=588294,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000689;partial=true;start_range=.,586888	eukaryotic translation initiation factor 5 [Culex quinquefasciatus (southern house mosquito)]	6031450	CPIJ000689	7485at7157	B0W0M0	GO:0003743	F:translation initiation factor activity	IPR016024, IPR016021, IPR002735, IPR016189, IPR016190, IPR003307	ARM-type_fold.; MIF4-like_sf.; Transl_init_fac_IF2/IF5.; Transl_init_fac_IF2/IF5_N.; Transl_init_fac_IF2/IF5_Zn-bd.; W2_domain.
NW_001886706.1	800001	0.0360527389334705	0.182133203152121	-0.146080464218651	gene	804754	805184	ID=gene21958;Dbxref=VectorBase:CPIJ000700,GeneID:6031462;Name=CpipJ_CPIJ000700;end_range=805184,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000700;partial=true;start_range=.,804754	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031462	CPIJ000700	17729at7157	B0W0N1	GO:0030247, GO:0005044, GO:0006955	F:polysaccharide binding; F:scavenger receptor activity; P:immune response	IPR039942, IPR036024, IPR001212	SBSPON.; Somatomedin_B-like_dom_sf.; Somatomedin_B_dom.
NW_001886706.1	800001	0.0360527389334705	0.182133203152121	-0.146080464218651	gene	828707	830442	ID=gene21959;Dbxref=VectorBase:CPIJ000701,GeneID:6031463;Name=CpipJ_CPIJ000701;end_range=830442,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000701;partial=true;start_range=.,828707	ribosomal protein L23a [Culex quinquefasciatus (southern house mosquito)]	6031463	CPIJ000701		B0W0N2	GO:0005840	C:ribosome	IPR012677	Nucleotide-bd_a/b_plait_sf.
NW_001886706.1	800001	0.0360527389334705	0.182133203152121	-0.146080464218651	gene	850723	861933	ID=gene21960;Dbxref=VectorBase:CPIJ000702,GeneID:6031464;Name=CpipJ_CPIJ000702;end_range=861933,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000702;partial=true;start_range=.,850723	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031464	CPIJ000702		B0W0N3			IPR039942, IPR000884, IPR036383	SBSPON.; TSP1_rpt.; TSP1_rpt_sf.
NW_001886706.1	800001	0.0360527389334705	0.182133203152121	-0.146080464218651	gene	867597	871880	ID=gene21961;Dbxref=VectorBase:CPIJ000703,GeneID:6031465;Name=CpipJ_CPIJ000703;end_range=871880,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000703;partial=true;start_range=.,867597	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031465	CPIJ000703		B0W0N4			IPR039942	SBSPON.
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1053042	1053114	ID=gene21968;Dbxref=VectorBase:CPIJ020976,GeneID:6031473;Name=CpipJ_CPIJ020976;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020976	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031473	CPIJ020976		A0A3V7VYM6				
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1078617	1081464	ID=gene21969;Dbxref=VectorBase:CPIJ000710,GeneID:6031475;Name=CpipJ_CPIJ000710;end_range=1081464,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000710;partial=true;start_range=.,1078617	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031475	CPIJ000710	5856at7157	B0W0P1	GO:0046872	F:metal ion binding	IPR041367, IPR000571, IPR036855	Znf-CCCH_4.; Znf_CCCH.; Znf_CCCH_sf.
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1086380	1086644	ID=gene21970;Dbxref=VectorBase:CPIJ000713,GeneID:6031478;Name=CpipJ_CPIJ000713;end_range=1086644,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000713;partial=true;start_range=.,1086380	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031478	CPIJ000713		A0A3U3SN17				
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1026995	1027070	ID=gene21964;Dbxref=VectorBase:CPIJ020972,GeneID:6031469;Name=CpipJ_CPIJ020972;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020972	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031469	CPIJ020972		A0A3V9NFM8				
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1030674	1030749	ID=gene21965;Dbxref=VectorBase:CPIJ020973,GeneID:6031470;Name=CpipJ_CPIJ020973;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020973	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031470	CPIJ020973		A0A0F7JF58	GO:0005737, GO:0003677, GO:0003700, GO:0006633, GO:0045717	C:cytoplasm; F:DNA binding; F:DNA-binding transcription factor activity; P:fatty acid biosynthetic process; P:negative regulation of fatty acid biosynthetic process	IPR009057, IPR001647, IPR023764	Homeobox-like_sf.; HTH_TetR.; Tscrpt_reg_HTH_FabR.
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1040688	1041923	ID=gene21966;Dbxref=VectorBase:CPIJ000707,GeneID:6031471;Name=CpipJ_CPIJ000707;end_range=1041923,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000707;partial=true;start_range=.,1040688	trypsin 1 [Culex quinquefasciatus (southern house mosquito)]	6031471	CPIJ000707	6387at7157	B0W0N8	GO:0004252	F:serine-type endopeptidase activity	IPR009003, IPR001314, IPR001254, IPR018114, IPR033116	Peptidase_S1_PA.; Peptidase_S1A.; Trypsin_dom.; TRYPSIN_HIS.; TRYPSIN_SER.
NW_001886706.1	1000001	0.249369238397969	0.392521829177376	-0.143152590779407	gene	1047349	1048478	ID=gene21967;Dbxref=VectorBase:CPIJ000708,GeneID:6031472;Name=CpipJ_CPIJ000708;end_range=1048478,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000708;partial=true;start_range=.,1047349	trypsin-1 [Culex quinquefasciatus (southern house mosquito)]	6031472	CPIJ000708	6387at7157	B0W0N9	GO:0004252	F:serine-type endopeptidase activity	IPR009003, IPR001314, IPR001254, IPR018114, IPR033116	Peptidase_S1_PA.; Peptidase_S1A.; Trypsin_dom.; TRYPSIN_HIS.; TRYPSIN_SER.
NW_001886707.1	400001	0.272624624536175	0.455691989207406	-0.183067364671231	gene	464643	464716	ID=gene21807;Dbxref=VectorBase:CPIJ020853,GeneID:6031563;Name=CpipJ_CPIJ020853;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020853	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031563	CPIJ020853		A0A0F7J4Z8	GO:0016021, GO:0005886, GO:0051087	C:integral component of membrane; C:plasma membrane; F:chaperone binding	IPR023749, IPR007791, IPR001623, IPR036869, IPR029024	DjlA.; DjlA_N.; DnaJ_domain.; J_dom_sf.; TerB-like.
NW_001886707.1	400001	0.272624624536175	0.455691989207406	-0.183067364671231	gene	495639	495791	ID=gene21808;Dbxref=VectorBase:CPIJ000583,GeneID:6031567;Name=CpipJ_CPIJ000583;end_range=495791,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000583;partial=true;start_range=.,495639	116 kda U5 small nuclear ribonucleoprotein component [Culex quinquefasciatus (southern house mosquito)]	6031567	CPIJ000583		B0W0W2				
NW_001886707.1	600001	0.222720218388848	0.428064298745386	-0.205344080356538	gene	613487	614301	ID=gene21814;Dbxref=VectorBase:CPIJ000587,GeneID:6031573;Name=CpipJ_CPIJ000587;end_range=614301,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000587;partial=true;start_range=.,613487	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031573	CPIJ000587		A0A3Y1CC49				
NW_001886707.1	600001	0.222720218388848	0.428064298745386	-0.205344080356538	gene	646676	656840	ID=gene21815;Dbxref=VectorBase:CPIJ000588,GeneID:6031574;Name=CpipJ_CPIJ000588;end_range=656840,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000588;partial=true;start_range=.,646676	polypyrimidine tract binding protein [Culex quinquefasciatus (southern house mosquito)]	6031574	CPIJ000588	10248at7157	B0W0W7	GO:0005634, GO:0003723, GO:0006397	C:nucleus; F:RNA binding; P:mRNA processing	IPR006536, IPR012677, IPR034798, IPR021790, IPR035979, IPR000504	HnRNP-L/PTB.; Nucleotide-bd_a/b_plait_sf.; PTBP1/2/3_RRM2.; PTBP1_RRM.; RBD_domain_sf.; RRM_dom.
NW_001886707.1	600001	0.222720218388848	0.428064298745386	-0.205344080356538	gene	699561	699634	ID=gene21816;Dbxref=VectorBase:CPIJ020857,GeneID:6031575;Name=CpipJ_CPIJ020857;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020857	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031575	CPIJ020857		A0A3Y9BVQ0				
NW_001886708.1	1	0.172137931168535	0.470088600705111	-0.297950669536576	gene	9367	17591	ID=gene21704;Dbxref=VectorBase:CPIJ000798,GeneID:6031680;Name=CpipJ_CPIJ000798;end_range=17591,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000798;partial=true;start_range=.,9367	c-AMP-dependent protein kinase Catalytic subunit [Culex quinquefasciatus (southern house mosquito)]	6031680	CPIJ000798		A0A3V1TIS2				
NW_001886710.1	1600001	0.252009626819167	0.394205576615899	-0.142195949796732	gene	1680869	1681881	ID=gene21593;Dbxref=VectorBase:CPIJ000787,GeneID:6031904;Name=CpipJ_CPIJ000787;end_range=1681881,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000787;partial=true;start_range=.,1680869	o-linked N-acetyl glucosamine transferase [Culex quinquefasciatus (southern house mosquito)]	6031904	CPIJ000787	18038at7157	B0W1K9	GO:0016740	F:transferase activity	IPR013026, IPR011990, IPR041617, IPR019734	TPR-contain_dom.; TPR-like_helical_dom_sf.; TPR_MalT.; TPR_repeat.
NW_001886711.1	1	0.157336444704618	0.452674671256558	-0.29533822655194	gene	9099	19321	ID=gene21458;Dbxref=VectorBase:CPIJ000934,GeneID:6031921;Name=CpipJ_CPIJ000934;end_range=19321,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000934;partial=true;start_range=.,9099	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031921	CPIJ000934	2661at7157	A0A3U4QYN8				
NW_001886711.1	1	0.157336444704618	0.452674671256558	-0.29533822655194	gene	10313	10386	ID=gene21459;Dbxref=VectorBase:CPIJ021296,GeneID:6031920;Name=CpipJ_CPIJ021296;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ021296	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031920	CPIJ021296		A0A447MTX1				
NW_001886711.1	1	0.157336444704618	0.452674671256558	-0.29533822655194	gene	28345	28419	ID=gene21460;Dbxref=VectorBase:CPIJ021298,GeneID:6031917;Name=CpipJ_CPIJ021298;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ021298	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031917	CPIJ021298		A0A3T7S0A4				
NW_001886711.1	1	0.157336444704618	0.452674671256558	-0.29533822655194	gene	69486	91373	ID=gene21461;Dbxref=VectorBase:CPIJ000935,GeneID:6031918;Name=CpipJ_CPIJ000935;end_range=91373,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000935;partial=true;start_range=.,69486	lipase [Culex quinquefasciatus (southern house mosquito)]	6031918	CPIJ000935	11715at7157	A0A3Y3HS41				
NW_001886711.1	500001	0.124661965326101	0.288462426426554	-0.163800461100453	gene	500874	507367	ID=gene21481;Dbxref=VectorBase:CPIJ000950,GeneID:6031942;Name=CpipJ_CPIJ000950;end_range=507367,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000950;partial=true;start_range=.,500874	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031942	CPIJ000950	15115at7157	B0W1N6	GO:0016021	C:integral component of membrane	IPR019319	Plg-R(KT).
NW_001886711.1	500001	0.124661965326101	0.288462426426554	-0.163800461100453	gene	518140	518212	ID=gene21482;Dbxref=VectorBase:CPIJ021320,GeneID:6031940;Name=CpipJ_CPIJ021320;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ021320	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031940	CPIJ021320		A0A3Z2GUL4				
NW_001886711.1	500001	0.124661965326101	0.288462426426554	-0.163800461100453	gene	534593	537081	ID=gene21483;Dbxref=VectorBase:CPIJ000951,GeneID:6031941;Name=CpipJ_CPIJ000951;end_range=537081,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000951;partial=true;start_range=.,534593	pre-mRNA-splicing ATP-dependent RNA helicase PRP28 [Culex quinquefasciatus (southern house mosquito)]	6031941	CPIJ000951	3243at7157	B0W1N7	GO:0005524, GO:0004386, GO:0003676	F:ATP binding; F:helicase activity; F:nucleic acid binding	IPR011545, IPR014001, IPR001650, IPR027417, IPR000629, IPR014014	DEAD/DEAH_box_helicase_dom.; Helicase_ATP-bd.; Helicase_C.; P-loop_NTPase.; RNA-helicase_DEAD-box_CS.; RNA_helicase_DEAD_Q_motif.
NW_001886711.1	500001	0.124661965326101	0.288462426426554	-0.163800461100453	gene	538448	539142	ID=gene21484;Dbxref=VectorBase:CPIJ000952,GeneID:6031943;Name=CpipJ_CPIJ000952;end_range=539142,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000952;partial=true;start_range=.,538448	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031943	CPIJ000952		A0A3Z0ZT06				
NW_001886711.1	500001	0.124661965326101	0.288462426426554	-0.163800461100453	gene	565634	566374	ID=gene21485;Dbxref=VectorBase:CPIJ000953,GeneID:6031944;Name=CpipJ_CPIJ000953;end_range=566374,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000953;partial=true;start_range=.,565634	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031944	CPIJ000953	17688at7157	B0W1N9	GO:0046983	F:protein dimerization activity	IPR011598, IPR036638	bHLH_dom.; HLH_DNA-bd_sf.
NW_001886711.1	1200001	0.166686178788216	0.36854824154509	-0.201862062756874	gene	1202983	1203324	ID=gene21513;Dbxref=VectorBase:CPIJ000976,GeneID:6031972;Name=CpipJ_CPIJ000976;end_range=1203324,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000976;partial=true;start_range=.,1202983	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031972	CPIJ000976		B0W1R2				
NW_001886711.1	1200001	0.166686178788216	0.36854824154509	-0.201862062756874	gene	1232015	1233562	ID=gene21514;Dbxref=VectorBase:CPIJ000977,GeneID:6031973;Name=CpipJ_CPIJ000977;end_range=1233562,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000977;partial=true;start_range=.,1232015	cop9 signalosome complex subunit [Culex quinquefasciatus (southern house mosquito)]	6031973	CPIJ000977		B0W1R3	GO:0008180	C:COP9 signalosome	IPR037750	COPS2.
NW_001886711.1	1200001	0.166686178788216	0.36854824154509	-0.201862062756874	gene	1263912	1263987	ID=gene21515;Dbxref=VectorBase:CPIJ021346,GeneID:6031974;Name=CpipJ_CPIJ021346;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ021346	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031974	CPIJ021346		A0A0F7DJB6	GO:0005525, GO:0003924, GO:0016151, GO:0051604	F:GTP binding; F:GTPase activity; F:nickel cation binding; P:protein maturation	IPR003495, IPR004392, IPR012202, IPR027417	CobW/HypB/UreG_dom.; Hyd_mat_HypB.; NiFe-hyd/urease_mat_GTPase.; P-loop_NTPase.
NW_001886711.1	1200001	0.166686178788216	0.36854824154509	-0.201862062756874	gene	1273855	1274820	ID=gene21516;Dbxref=VectorBase:CPIJ000978,GeneID:6031975;Name=CpipJ_CPIJ000978;end_range=1274820,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000978;partial=true;start_range=.,1273855	transforming protein Ski [Culex quinquefasciatus (southern house mosquito)]	6031975	CPIJ000978	10923at7157	B0W1R4	GO:0046332	F:SMAD binding	IPR014890, IPR009061, IPR010919, IPR003380, IPR037000, IPR023216	c-SKI_SMAD4-bd_dom.; DNA-bd_dom_put_sf.; SAND-like_dom_sf.; SKI/SNO/DAC.; Ski_DNA-bd_sf.; Tscrpt_reg_SKI_SnoN.
NW_001886711.1	1200001	0.166686178788216	0.36854824154509	-0.201862062756874	gene	1281688	1282127	ID=gene21517;Dbxref=VectorBase:CPIJ000979,GeneID:6031976;Name=CpipJ_CPIJ000979;end_range=1282127,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000979;partial=true;start_range=.,1281688	DNA-directed RNA polymerase I subunit D [Culex quinquefasciatus (southern house mosquito)]	6031976	CPIJ000979	17185at7157	B0W1R5	GO:0003677, GO:0003899, GO:0046983, GO:0006351	F:DNA binding; F:DNA-directed 5-3 RNA polymerase activity; F:protein dimerization activity; P:transcription, DNA-templated	IPR036603, IPR009025, IPR008193, IPR033898	RBP11-like.; RBP11-like_dimer.; RNA_pol_Rpb11_13-16kDa_CS.; RNAP_AC19.
NW_001886722.1	1500001	0.397803770124242	0.541206460691028	-0.143402690566786	gene	1549978	1550047	ID=gene20572;Dbxref=VectorBase:CPIJ022080,GeneID:6032970;Name=CpipJ_CPIJ022080;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ022080	tRNA [Culex quinquefasciatus (southern house mosquito)]	6032970	CPIJ022080		A0A3Z6QNP9				
NW_001886722.1	1500001	0.397803770124242	0.541206460691028	-0.143402690566786	gene	1582027	1582096	ID=gene20573;Dbxref=VectorBase:CPIJ022083,GeneID:6032971;Name=CpipJ_CPIJ022083;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ022083	tRNA [Culex quinquefasciatus (southern house mosquito)]	6032971	CPIJ022083		A0A3Y1CG41				
NW_001886722.1	1500001	0.397803770124242	0.541206460691028	-0.143402690566786	gene	1584689	1596548	ID=gene20574;Dbxref=VectorBase:CPIJ001812,GeneID:6032972;Name=CpipJ_CPIJ001812;end_range=1596548,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ001812;partial=true;start_range=.,1584689	sugar transporter [Culex quinquefasciatus (southern house mosquito)]	6032972	CPIJ001812	11912at7157	A0A3Y1CG55				
NW_001886724.1	1500001	0	0.184420439086558	-0.184420439086558	gene	1511941	1517954	ID=gene20472;Dbxref=VectorBase:CPIJ002048,GeneID:6033088;Name=CpipJ_CPIJ002048;end_range=1517954,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002048;partial=true;start_range=.,1511941	dynein light chain [Culex quinquefasciatus (southern house mosquito)]	6033088	CPIJ002048	17468at7157	A0A3Y9BXV8				
NW_001886724.1	1500001	0	0.184420439086558	-0.184420439086558	gene	1518176	1538747	ID=gene20473;Dbxref=VectorBase:CPIJ002049,GeneID:6033089;Name=CpipJ_CPIJ002049;end_range=1538747,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002049;partial=true;start_range=.,1518176	adaptin, alpha/gamma/epsilon [Culex quinquefasciatus (southern house mosquito)]	6033089	CPIJ002049	2103at7157	B0W4E6	GO:0030121, GO:0006886, GO:0016192	C:AP-1 adaptor complex; P:intracellular protein transport; P:vesicle-mediated transport	IPR017107, IPR011989, IPR016024, IPR002553, IPR008152, IPR013041, IPR008153	AP1_complex_gsu.; ARM-like.; ARM-type_fold.; Clathrin/coatomer_adapt-like_N.; Clathrin_a/b/g-adaptin_app_Ig.; Clathrin_app_Ig-like_sf.; GAE_dom.
NW_001886724.1	1500001	0	0.184420439086558	-0.184420439086558	gene	1502472	1502547	ID=gene20471;Dbxref=VectorBase:CPIJ022286,GeneID:6033087;Name=CpipJ_CPIJ022286;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ022286	tRNA [Culex quinquefasciatus (southern house mosquito)]	6033087	CPIJ022286		A0A3Y9BXZ9				
NW_001886729.1	602309	0.336743601775882	0.507312842799067	-0.170569241023185	gene	616429	616506	ID=gene20096;Dbxref=VectorBase:CPIJ022360,GeneID:6033405;Name=CpipJ_CPIJ022360;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ022360	tRNA [Culex quinquefasciatus (southern house mosquito)]	6033405	CPIJ022360		A0A3Z6QQW4				
NW_001886729.1	602309	0.336743601775882	0.507312842799067	-0.170569241023185	gene	651643	674225	ID=gene20097;Dbxref=VectorBase:CPIJ002190,GeneID:6033406;Name=CpipJ_CPIJ002190;end_range=674225,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002190;partial=true;start_range=.,651643	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6033406	CPIJ002190		A0A3Y1CHI9				
NW_001886729.1	602309	0.336743601775882	0.507312842799067	-0.170569241023185	gene	695474	700347	ID=gene20098;Dbxref=VectorBase:CPIJ002191,GeneID:6033407;Name=CpipJ_CPIJ002191;end_range=700347,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002191;partial=true;start_range=.,695474	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6033407	CPIJ002191		A0A3Z6QQY1				
NW_001886730.1	1	0.176342157384338	0.36064180870305	-0.184299651318712	gene	72087	72812	ID=gene19992;Dbxref=VectorBase:CPIJ002217,GeneID:6033522;Name=CpipJ_CPIJ002217;end_range=72812,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002217;partial=true;start_range=.,72087	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6033522	CPIJ002217		B0W5H1				
NW_001886731.1	1000001	0.147521091834096	0.292919008976813	-0.145397917142717	gene	1009517	1016823	ID=gene19959;Dbxref=VectorBase:CPIJ002315,GeneID:6033552;Name=CpipJ_CPIJ002315;end_range=1016823,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002315;partial=true;start_range=.,1009517	transport protein SEC24 [Culex quinquefasciatus (southern house mosquito)]	6033552	CPIJ002315	2072at7157	A0A1J4QNA3	GO:0016021, GO:0022857, GO:0006865	C:integral component of membrane; F:transmembrane transporter activity; P:amino acid transport	IPR004841, IPR002293, IPR004840	AA-permease/SLC12A_dom.; AA/rel_permease1.; Amoino_acid_permease_CS.
NW_001886731.1	1000001	0.147521091834096	0.292919008976813	-0.145397917142717	gene	1033736	1033809	ID=gene19960;Dbxref=VectorBase:CPIJ022505,GeneID:6033554;Name=CpipJ_CPIJ022505;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ022505	tRNA [Culex quinquefasciatus (southern house mosquito)]	6033554	CPIJ022505		A0A1J4QR06	GO:0016021, GO:0005886	C:integral component of membrane; C:plasma membrane	IPR004630, IPR018383	UPF0324_bac.; UPF0324_pro.
NW_001886731.1	1000001	0.147521091834096	0.292919008976813	-0.145397917142717	gene	1038945	1047005	ID=gene19961;Dbxref=VectorBase:CPIJ002316,GeneID:6033555;Name=CpipJ_CPIJ002316;end_range=1047005,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002316;partial=true;start_range=.,1038945	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6033555	CPIJ002316	4393at7157	A0A3U6ZX21				
NW_001886731.1	1000001	0.147521091834096	0.292919008976813	-0.145397917142717	gene	1051117	1056015	ID=gene19962;Dbxref=VectorBase:CPIJ002317,GeneID:6033556;Name=CpipJ_CPIJ002317;end_range=1056015,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ002317;partial=true;start_range=.,1051117	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6033556	CPIJ002317	12000at7157	B0W5K2			IPR026094	GPS2.
